algorithm,level,k,query_type,run_id,struct_id,assignment,estimated_cost,estimated_latency,estimated_energy,estimated_qoa,is_pareto,time_s
MOQO,0,1,Sports,1,0,"(4,)",1.2783e-05,8.244304,11.4803808,0.1,True,1.3002851009368896
MOQO,0,1,Sports,1,0,"(2,)",9.468e-06,19.066619,14.3,0.03,True,1.3002851009368896
MOQO,0,1,Sports,1,0,"(3,)",9.786e-06,13.3905244,9.3512386,0.08,True,1.3002851009368896
MOQO,0,1,Sports,1,0,"(1,)",7.491e-06,20.43,14.371824,0.354,True,1.3002851009368896
MOQO,0,1,Sports,1,0,"(0,)",4.0172e-06,22.0616557,14.3331881,0.059,True,1.3002851009368896
MOQO,0,1,Sports,2,0,"(0,)",4.0172e-06,22.0616557,14.3331881,0.059,True,1.3000140190124512
MOQO,0,1,Sports,2,0,"(2,)",9.468e-06,19.066619,14.3,0.03,True,1.3000140190124512
MOQO,0,1,Sports,2,0,"(4,)",1.2783e-05,8.244304,11.4803808,0.1,True,1.3000140190124512
MOQO,0,1,Sports,2,0,"(3,)",9.786e-06,13.3905244,9.3512386,0.08,True,1.3000140190124512
MOQO,0,1,Sports,2,0,"(1,)",7.491e-06,20.43,14.371824,0.354,True,1.3000140190124512
DP+Delta,0,1,TV shows,0,0,"(0,)",3.6496e-06,20.317841,13.200253,0.059,True,0.006654977798461914
DP+Delta,0,1,TV shows,0,0,"(1,)",6.9300000000000006e-06,18.9,13.29552,0.354,True,0.006654977798461914
DP+Delta,0,1,TV shows,0,0,"(2,)",1.0064e-05,18.9866192,14.24,0.03,False,0.006654977798461914
DP+Delta,0,1,TV shows,0,0,"(3,)",8.22e-06,12.154033600000002,8.487738400000001,0.08,True,0.006654977798461914
DP+Delta,0,1,TV shows,0,0,"(4,)",1.1682e-05,7.609205,10.595991,0.1,True,0.006654977798461914
MOQO,0,1,TV shows,0,0,"(3,)",8.22e-06,12.154033600000002,8.487738400000001,0.08,True,1.300241231918335
MOQO,0,1,TV shows,0,0,"(1,)",6.9300000000000006e-06,18.9,13.29552,0.354,True,1.300241231918335
MOQO,0,1,TV shows,0,0,"(4,)",1.1682e-05,7.609205,10.595991,0.1,True,1.300241231918335
MOQO,0,1,TV shows,0,0,"(0,)",3.6496e-06,20.317841,13.200253,0.059,True,1.300241231918335
MOQO,0,1,TV shows,1,0,"(4,)",1.1682e-05,7.609205,10.595991,0.1,True,1.3000190258026123
MOQO,0,1,TV shows,1,0,"(1,)",6.9300000000000006e-06,18.9,13.29552,0.354,True,1.3000190258026123
MOQO,0,1,TV shows,1,0,"(3,)",8.22e-06,12.154033600000002,8.487738400000001,0.08,True,1.3000190258026123
MOQO,0,1,TV shows,1,0,"(0,)",3.6496e-06,20.317841,13.200253,0.059,True,1.3000190258026123
MOQO,0,1,TV shows,2,0,"(0,)",3.6496e-06,20.317841,13.200253,0.059,True,1.300158977508545
MOQO,0,1,TV shows,2,0,"(1,)",6.9300000000000006e-06,18.9,13.29552,0.354,True,1.300158977508545
MOQO,0,1,TV shows,2,0,"(4,)",1.1682e-05,7.609205,10.595991,0.1,True,1.300158977508545
MOQO,0,1,TV shows,2,0,"(3,)",8.22e-06,12.154033600000002,8.487738400000001,0.08,True,1.300158977508545
DP+Delta,0,1,Video games,0,0,"(0,)",3.9446e-06,21.2457424,13.8030992,0.059,True,0.00621795654296875
DP+Delta,0,1,Video games,0,0,"(1,)",7.084e-06,19.32,13.590976,0.354,True,0.00621795654296875
DP+Delta,0,1,Video games,0,0,"(2,)",1.0204e-05,19.1732854,14.38,0.03,False,0.00621795654296875
DP+Delta,0,1,Video games,0,0,"(3,)",8.886e-06,12.4703452,8.7086338,0.08,True,0.00621795654296875
DP+Delta,0,1,Video games,0,0,"(4,)",1.1905e-05,7.7110605,10.7378271,0.1,True,0.00621795654296875
MOQO,0,1,Video games,0,0,"(3,)",8.886e-06,12.4703452,8.7086338,0.08,True,1.3000619411468506
MOQO,0,1,Video games,0,0,"(4,)",1.1905e-05,7.7110605,10.7378271,0.1,True,1.3000619411468506
MOQO,0,1,Video games,0,0,"(0,)",3.9446e-06,21.2457424,13.8030992,0.059,True,1.3000619411468506
MOQO,0,1,Video games,0,0,"(1,)",7.084e-06,19.32,13.590976,0.354,True,1.3000619411468506
MOQO,0,1,Video games,1,0,"(4,)",1.1905e-05,7.7110605,10.7378271,0.1,True,1.3001410961151123
MOQO,0,1,Video games,1,0,"(3,)",8.886e-06,12.4703452,8.7086338,0.08,True,1.3001410961151123
MOQO,0,1,Video games,1,0,"(1,)",7.084e-06,19.32,13.590976,0.354,True,1.3001410961151123
MOQO,0,1,Video games,1,0,"(0,)",3.9446e-06,21.2457424,13.8030992,0.059,True,1.3001410961151123
MOQO,0,1,Video games,2,0,"(0,)",3.9446e-06,21.2457424,13.8030992,0.059,True,1.3001699447631836
MOQO,0,1,Video games,2,0,"(3,)",8.886e-06,12.4703452,8.7086338,0.08,True,1.3001699447631836
MOQO,0,1,Video games,2,0,"(4,)",1.1905e-05,7.7110605,10.7378271,0.1,True,1.3001699447631836
MOQO,0,1,Video games,2,0,"(1,)",7.084e-06,19.32,13.590976,0.354,True,1.3001699447631836
DP+Delta,0,1,biology_mmlu,0,0,"(0,)",8.335799999999999e-06,43.0674236,27.9803788,0.309,True,0.006505012512207031
DP+Delta,0,1,biology_mmlu,0,0,"(1,)",1.4322e-05,39.06,27.477408000000004,0.354,True,0.006505012512207031
DP+Delta,0,1,biology_mmlu,0,0,"(2,)",2.0316e-05,37.5199062,28.140000000000004,0.74,True,0.006505012512207031
DP+Delta,0,1,biology_mmlu,0,0,"(3,)",2.043e-05,25.304928,17.671632,0.637,True,0.006505012512207031
DP+Delta,0,1,biology_mmlu,0,0,"(4,)",2.5593000000000004e-05,15.8355345,22.0513419,0.675,True,0.006505012512207031
MOQO,0,1,biology_mmlu,0,0,"(3,)",2.043e-05,25.304928,17.671632,0.637,True,1.3002212047576904
MOQO,0,1,biology_mmlu,0,0,"(2,)",2.0316e-05,37.5199062,28.140000000000004,0.74,True,1.3002212047576904
MOQO,0,1,biology_mmlu,0,0,"(4,)",2.5593000000000004e-05,15.8355345,22.0513419,0.675,True,1.3002212047576904
MOQO,0,1,biology_mmlu,0,0,"(0,)",8.335799999999999e-06,43.0674236,27.9803788,0.309,True,1.3002212047576904
MOQO,0,1,biology_mmlu,0,0,"(1,)",1.4322e-05,39.06,27.477408000000004,0.354,True,1.3002212047576904
MOQO,0,1,biology_mmlu,1,0,"(4,)",2.5593000000000004e-05,15.8355345,22.0513419,0.675,True,1.3000199794769287
MOQO,0,1,biology_mmlu,1,0,"(2,)",2.0316e-05,37.5199062,28.140000000000004,0.74,True,1.3000199794769287
MOQO,0,1,biology_mmlu,1,0,"(3,)",2.043e-05,25.304928,17.671632,0.637,True,1.3000199794769287
MOQO,0,1,biology_mmlu,1,0,"(1,)",1.4322e-05,39.06,27.477408000000004,0.354,True,1.3000199794769287
MOQO,0,1,biology_mmlu,1,0,"(0,)",8.335799999999999e-06,43.0674236,27.9803788,0.309,True,1.3000199794769287
MOQO,0,1,biology_mmlu,2,0,"(0,)",8.335799999999999e-06,43.0674236,27.9803788,0.309,True,1.3002779483795166
MOQO,0,1,biology_mmlu,2,0,"(2,)",2.0316e-05,37.5199062,28.140000000000004,0.74,True,1.3002779483795166
MOQO,0,1,biology_mmlu,2,0,"(4,)",2.5593000000000004e-05,15.8355345,22.0513419,0.675,True,1.3002779483795166
MOQO,0,1,biology_mmlu,2,0,"(3,)",2.043e-05,25.304928,17.671632,0.637,True,1.3002779483795166
MOQO,0,1,biology_mmlu,2,0,"(1,)",1.4322e-05,39.06,27.477408000000004,0.354,True,1.3002779483795166
DP+Delta,0,1,business_mmlu,0,0,"(0,)",8.6256e-06,36.09216479999999,23.4486384,0.309,False,0.0065348148345947266
DP+Delta,0,1,business_mmlu,0,0,"(1,)",7.931e-06,21.630000000000003,15.215984,0.354,True,0.0065348148345947266
DP+Delta,0,1,business_mmlu,0,0,"(2,)",1.7266e-05,26.8665995,20.15,0.74,True,0.0065348148345947266
DP+Delta,0,1,business_mmlu,0,0,"(3,)",1.0128e-05,13.8793696,9.6926224,0.637,True,0.0065348148345947266
DP+Delta,0,1,business_mmlu,0,0,"(4,)",1.356e-05,8.663709,12.064411799999998,0.675,True,0.0065348148345947266
MOQO,0,1,business_mmlu,0,0,"(3,)",1.0128e-05,13.8793696,9.6926224,0.637,True,1.3001518249511719
MOQO,0,1,business_mmlu,0,0,"(2,)",1.7266e-05,26.8665995,20.15,0.74,True,1.3001518249511719
MOQO,0,1,business_mmlu,0,0,"(4,)",1.356e-05,8.663709,12.064411799999998,0.675,True,1.3001518249511719
MOQO,0,1,business_mmlu,0,0,"(1,)",7.931e-06,21.630000000000003,15.215984,0.354,True,1.3001518249511719
